provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,hospital_overall_rating_footnote,mortality_national_comparison,mortality_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,readmission_national_comparison,readmission_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,location
330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,POINT (-73.776128 42.246254)
330136,BASSETT HEALTHCARE,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,OTSEGO,(607) 547-3456,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,0
330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,SUFFOLK,(631) 862-3000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.220142 40.867592)
330056,BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,121 DEKALB AVENUE,BROOKLYN,NY,11201,KINGS,(718) 250-8000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.9774 40.689785)
330127,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10461,BRONX,(718) 918-5000,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.84721 40.857455)
330397,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE,BROOKLYN,NY,11213,KINGS,(718) 613-4000,Acute Care Hospitals,Voluntary non-profit - Private,False,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.937154 40.677866)
330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,KINGS,(718) 283-6000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.998668 40.63908)
330234,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10595,WESTCHESTER,(914) 493-7000,Acute Care Hospitals,Government - Hospital District or Authority,True,False,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,POINT (-73.803897 41.08768)
330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,QUEENS,(718) 869-7000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.75268 40.598675)
330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,ROCKLAND,(845) 368-5000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-74.136248 41.112389)
330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,WESTCHESTER,(914) 378-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.897003 40.929614)
330058,FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,ONTARIO,(315) 787-4175,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,0
330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,KINGS,(718) 604-5789,Acute Care Hospitals,Voluntary non-profit - Private,True,False,1,23.0,Same as the national average,23.0,Below the national average,0.0,Below the national average,23.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.934072 40.65892900000001)
330141,LONG ISLAND COMMUNITY HOSPITAL,101 HOSPITAL ROAD,PATCHOGUE,NY,11772,SUFFOLK,(631) 654-7100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-72.978147 40.779337)
330013,ALBANY MEDICAL CENTER HOSPITAL,"43 NEW SCOTLAND AVENUE, MAIL CODE 34",ALBANY,NY,12208,ALBANY,(518) 262-2400,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.77386 42.653254)
330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,BRONX,(718) 920-4321,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.879975 40.879777)
330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,SUFFOLK,(631) 376-3000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.286321 40.696807)
330399,ST BARNABAS HOSPITAL,4422 THIRD AVENUE,BRONX,NY,10457,BRONX,(212) 960-9000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.892168 40.85277)
330084,ALICE HYDE MEDICAL CENTER,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 483-3000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Above the national average,0.0,Same as the national average,0.0,POINT (-74.29193 44.856658)
330128,ELMHURST HOSPITAL CENTER,79-01 BROADWAY,ELMHURST,NY,11373,QUEENS,(718) 334-1141,Acute Care Hospitals,Government - Local,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.88598 40.74434)
330202,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVENUE,BROOKLYN,NY,11203,KINGS,(718) 245-3901,Acute Care Hospitals,Government - Local,True,False,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.944039 40.655773)
330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,DUTCHESS,(845) 454-8500,Acute Care Hospitals,Voluntary non-profit - Private,True,False,1,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,POINT (-73.935723 41.694567)
330245,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,ONEIDA,(315) 798-8100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-75.267158 43.083646)
330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,QUEENS,(718) 670-5000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.815645 40.755636)
330163,EASTERN NIAGARA HOSPITAL,521 EAST AVENUE,LOCKPORT,NY,14094,NIAGARA,(716) 514-5700,Acute Care Hospitals,Voluntary non-profit - Private,True,False,1,0.0,Below the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-78.671075 43.17638)
330096,JONES MEMORIAL HOSPITAL,191 NORTH MAIN STREET,WELLSVILLE,NY,14895,ALLEGANY,(585) 593-1100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,0.0,Below the national average,0.0,Not Available,5.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-77.949784 42.122878)
330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,CHEMUNG,(607) 737-4100,Acute Care Hospitals,Voluntary non-profit - Private,True,False,2,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-76.826668 42.099256)
330198,MOUNT SINAI SOUTH NASSAU,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NASSAU,(516) 632-3000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,0
330279,MERCY HOSPITAL OF BUFFALO,565 ABBOTT ROAD,BUFFALO,NY,14220,ERIE,(716) 826-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Below the national average,0.0,Below the national average,0.0,Above the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-78.811876 42.847875)
330162,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,WESTCHESTER,(914) 666-1200,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Above the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-73.724449 41.196692)
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,QUEENS,(718) 670-2000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Above the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,0
330191,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,WARREN,(518) 926-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Below the national average,0.0,Above the national average,0.0,Above the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.644551 43.30833500000001)
330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,OTSEGO,(607) 432-2000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,0
330396,WOODHULL MEDICAL & MENTAL HEALTH CENTER,760 BROADWAY,BROOKLYN,NY,11206,KINGS,(718) 963-8100,Acute Care Hospitals,Government - Local,True,True,2,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.941557 40.700512)
330005,KALEIDA HEALTH,100 HIGH STREET,BUFFALO,NY,14210,ERIE,(716) 859-8620,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-78.864937 42.900329)
330199,METROPOLITAN HOSPITAL CENTER,1901 FIRST AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 423-6262,Acute Care Hospitals,Government - Local,True,True,2,0.0,Not Available,5.0,Same as the national average,0.0,Not Available,5.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.943636 40.78472)
330180,SAMARITAN HOSPITAL,2215 BURDETT AVENUE,TROY,NY,12180,RENSSELAER,(518) 427-3402,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.671434 42.733395)
330104,NYACK HOSPITAL,160 NORTH MIDLAND AVENUE,NYACK,NY,10960,ROCKLAND,(845) 348-2000,Acute Care Hospitals,Voluntary non-profit - Other,True,False,2,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.925253 41.095251000000005)
330239,UPMC CHAUTAUQUA AT WCA,207 FOOTE AVENUE,JAMESTOWN,NY,14701,CHAUTAUQUA,(716) 487-0141,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Above the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,POINT (-79.23295 42.091237)
330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,621 TENTH STREET,NIAGARA FALLS,NY,14302,NIAGARA,(716) 278-4000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-79.050429 43.093433)
330307,CAYUGA MEDICAL CENTER AT ITHACA,101 DATES DRIVE,ITHACA,NY,14850,TOMPKINS,(607) 274-4401,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Below the national average,0.0,Below the national average,0.0,Above the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-76.538808 42.467096)
330226,UNITY HOSPITAL,1555 LONG POND ROAD,ROCHESTER,NY,14626,MONROE,(585) 723-7000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Above the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-77.701464 43.191544)
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,(212) 519-5000,Acute Care Hospitals,Government - Local,True,True,2,0.0,Not Available,16.0,Same as the national average,0.0,Not Available,5.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Not Available,5.0,0
330184,MONTEFIORE NEW ROCHELLE HOSPITAL,16 GUION PLACE,NEW ROCHELLE,NY,10802,WESTCHESTER,(914) 632-5000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Not Available,5.0,POINT (-73.786997 40.912968)
330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,ERIE,(716) 862-1000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-78.849916 42.92917)
330033,CHENANGO MEMORIAL HOSPITAL,179 NORTH BROAD STREET,NORWICH,NY,13815,CHENANGO,(607) 337-4111,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-75.524724 42.542038)
330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,ALBANY,(518) 525-1550,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Above the national average,0.0,Below the national average,0.0,Above the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.802382 42.660176)
330238,NICHOLAS H NOYES MEMORIAL HOSPITAL,111  CLARA BARTON STREET,DANSVILLE,NY,14437,LIVINGSTON,(585) 335-6001,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,POINT (-77.700356 42.55213)
330103,OLEAN GENERAL HOSPITAL,515 MAIN STREET,OLEAN,NY,14760,CATTARAUGUS,(716) 373-2600,Acute Care Hospitals,Proprietary,True,True,2,0.0,Below the national average,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,POINT (-78.426977 42.089448)
330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,SUFFOLK,(631) 473-1320,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Above the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Above the national average,0.0,POINT (-73.052951 40.938249)
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,(914) 331-3131,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,0.0,Same as the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Below the national average,0.0,Same as the national average,0.0,Below the national average,0.0,Same as the national average,0.0,POINT (-73.995402 41.92635)
